역코드(STN_CD),역명(STN_NM),역약어명(STN_AVVR_NM)
3900786,을지로4,을지로
3900787,2동운동장,2동운
3900788,신당,신당
3900789,상왕십리,상왕십
3900790,2왕십리,2왕십
3900791,한양대,한양대
3900792,뚝섬,뚝섬
3900793,도림천,도림천
3900794,양천구청,양천구
3900795,신정네거리,신정네
3900796,3지축,3지축
3900797,구파발,구파발
3900798,연신내,연신내
3900799,불광,불광
3900800,녹번,녹번
3900801,홍제,홍제
3900802,무악재,무악재
3900803,독립문,독립문
3900804,경복궁,경복궁
3900805,안국,안국
3900806,3종로3가,3종로
3900807,3을지로3,3을지
3900808,3충무로,3충무
3900809,동대입구,동대입
3900810,약수,약수
3900811,금호3,금호3
3900812,3옥수,3옥수
3900813,압구정,압구정
3900814,신사,신사
3900815,잠원,잠원
3900816,고속터미널,고속터
3900817,교대,교대
3900818,남부터미널,남부터
3900819,양재,양재
3900820,매봉,매봉
3900821,3도곡,3도곡
3900822,대치,대치
3900823,학여울,학여울
3900824,대청,대청
3900825,일원,일원
3900826,3수서,3수서
3900827,가락시장,가락시
3900828,경찰병원,경찰병
3900829,오금,오금
3900830,당고개,당고개
3900831,상계,상계
3900832,노원,노원
3900833,4창동,4창동
3900834,쌍문,쌍문
3900835,수유,수유
3900836,미아,미아
3900837,미아3거리,미아3
3900837,미아4거리,미아4
3900838,길음,길음
3900839,성신여대,성신여
3900840,한성대,한성대
3900841,혜화,혜화
3900842,4동대,4동대
3900843,4동운동장,4동운
3900844,4충무로,4충무
3900845,명동,명동
3900846,회현,회현
3900847,4서울,4서울
3900848,숙대입구,숙대입
3900849,삼각지,삼각지
3900850,신용산,신용산
3900851,4이촌,4이촌
3900852,동작,동작
3900853,총신대,총신대
3900854,사당,사당
3900855,남태령,남태령
3900856,방화,방화
3900857,마천,마천
3900858,병점차,병점차
3900859,군자기지,군자기
3900860,이문차,이문차
3900861,문산차,문산차
3900862,서동탄,서동탄
3900863,동해기관,동해기
3900864,특별동차,특별동
3900865,용산동차,용산동
3900866,구로차량,구로차
3900867,안산차량,안산차
3900868,부곡기분,부곡기
3900869,대전기관,대전기
3900870,김천기관,김천기
3900871,대구기관,대구기
3900872,청량기관,청량기
3900873,성북차분,성북차
3900874,익산기관,익산기
3900875,가야기관,가야기
3900876,경주기관,경주기
3900877,인천차분,인천차
3900878,마산기관,마산기
3900879,창동기지,창동기
3900880,시흥기지,시흥기
3900881,수서기지,수서기
3900882,시흥남분기,시흥남
3900882,시흥연결선,시흥연
3900882,시흥연결,시흥연
3900883,광명,광명
3900884,천안아산,천안아
3900885,오송기지,오송기
3900885,청주오송,청주오
3900886,대전북분기,대전북
3900886,대전북연결,대전북
3900887,대전남분기,대전남
3900887,대전남연결,대전남
3900888,대구북분기,대구북
3900888,대구북연결,대구북
3900889,고양기지,고양기
3900890,부산기지,부산기
3900891,광명기지,광명기
3900892,부산신항,부산신
3900892,부산신항,부산항
3900893,신광양항,신광양
3900894,김천구미,김천구
3900895,신경주,신경주
3900895,경주,경주
3900896,신울산,신울산
3900896,울산,울산
3900897,부산북,부산북
3900898,상봉,상봉
3900899,장유,장유
3900900,신진영,신진영
3900901,진례,진례
3900902,북창원,북창원
3900902,창원중앙,창원중
3900903,고모분기,고모분
3900904,오송기지,오송기
3900905,고모기지,고모기
3900910,외고산,외고산
3900912,대구남연결,대구남
3900920,철송장,철송장
3900920,북철송장,북철송
3900921,평내기지,평내기
3900922,갈매,갈매
3900923,오빈,오빈
3900924,신내,신내
3900925,별내,별내
3900926,서울(공항,서울공
3900927,인천국제공,인천국
3900927,인천공항,인천국
3900928,홍대입(공,홍대공
3900929,디지털(공,디엠공
3900930,김포공항,김포공
3900931,계양,계양
3900932,검암,검암
3900933,운서,운서
3900934,공항화물청,공항화
3900935,용강신호소,용강
3900936,제진,제진
3900937,감호,감호
3900938,군사분계선,군분선
3900939,서울차량사업소,서울차
3900940,수색차량사업소,수색차
3900941,시흥차량사업소,시흥차
3900942,수도권철도차량정비단,수단일반
3900943,강릉차량사업소,강릉차
3900944,순천차량사업소,순천차
3900945,광주차량사업소,광주차
3900946,천안차량사업소,천안차
3900947,목포차량사업소,목포차
3900948,장항차량사업소,장항차
3900949,영주차량사업소,영주차
3900950,제천차량사업소,제천차
3900951,여수차량사업소,여수차
3900952,포항차량사업소,포항차
3900953,부산차량사업소,부산차
3900954,부산신항차량사업소,부산신항차
3900955,부전차량사업소,부전차
3900956,부산진차량사업소,부산진차
3900957,일산차량사업소,일산차
3900958,대전철도차량정비단,대전정비
3900959,판교-전철,판교1
3900959,신판교,신판교
3900960,이매여주선,이매1
3900960,이매1,이매1
3900960,신이매,신이매
3900961,삼동,삼동
3900962,광주-전철,광주1
3900962,경기광주,경광주
3900963,쌍동,쌍동
3900963,초월,초월
3900964,곤지암,곤지암
